song_name,artist,album,genre,track_price_inr,album_price_inr,country,currency,is_streamable,duration_min,release_year,era,is_recent,price_category
"Chaleya (From ""Jawan"")","Anirudh Ravichander, Arijit Singh, Shilpa Rao & Kumaar","Chaleya (From ""Jawan"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.34,2023,2020s,YES,Premium
Aabaad Barbaad,Pritam & Arijit Singh,Ludo (Original Motion Picture Soundtrack),Bollywood,18.0,80.0,IND,INR,True,5.15,2020,2015s,NO,Premium
"Maiyya Mainu (From ""Jersey"")",Sachet-Parampara & Sachet Tandon,"Maiyya Mainu (From ""Jersey"") - Single",Bollywood,18.0,18.0,IND,INR,True,3.86,2021,2020s,YES,Premium
Shayad,Pritam & Arijit Singh,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,18.0,190.0,IND,INR,True,4.13,2020,2015s,NO,Premium
Proper Patola,"Badshah, Diljit Dosanjh & Aastha Gill",Namaste England (Original Motion Picture Soundtrack),Bollywood,18.0,126.0,IND,INR,True,2.98,2018,2015s,NO,Premium
"Hawayein (From ""Jab Harry Met Sejal"")",Pritam & Arijit Singh,"Hawayein (From ""Jab Harry Met Sejal"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.83,2017,2015s,NO,Premium
Khuda Jaane,"Vishal & Shekhar, KK & Shilpa Rao",Bachna Ae Haseeno (Original Soundtrack),Bollywood,11.0,-1.0,IND,INR,True,5.62,2008,2000s,NO,Budget
Mere Liye,Akhil Sachdeva,Broken but Beautiful Season 3 (Original Series Soundtrack),TV Soundtrack,18.0,90.0,IND,INR,True,4.89,2021,2020s,YES,Premium
Sanam Re,Mithoon & Arijit Singh,Sanam Re (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,5.15,2015,2010s,NO,Premium
Mere Sohneya,Sachet Tandon & Parampara Tandon,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,3.22,2019,2015s,NO,Premium
Samjhawan,"Jawad Ahmed, Sharib Toshi, Arijit Singh & Shreya Ghoshal",Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.49,2014,2010s,NO,Premium
